date,game_id,team,elo_rating,result,games_played,games_remaining,remaining_estimated_wins,wins,losses
2025-01-27,yogi89xx6aw5,Vinyl,1499.9057200147308,0,4,11,5.092444666285891,2,2
2025-01-27,yogi89xx6aw5,Rose,1471.549429450835,0,4,12,5.811419070053402,1,3
2025-01-27,yogi89xx6aw5,Lunar Owls,1559.0916988897895,0,4,11,6.794636806134245,4,0
2025-01-27,yogi89xx6aw5,Laces,1559.7142637556428,0,4,10,5.604104423171618,4,0
2025-01-31,zfxe4imyud75,Phantom,1487.5338325065022,1,5,9,4.24423879767167,2,3
2025-01-31,zfxe4imyud75,Laces,1543.6855936147374,0,5,9,4.9882444716526555,4,1
2025-01-31,zfxe4imyud75,Rose,1455.548676510837,1,5,11,5.007107416827737,1,4
2025-01-31,zfxe4imyud75,Lunar Owls,1575.120369030695,0,5,10,6.3864933960015255,5,0
2025-02-01,sjrwaj31kq62,Mist,1457.017696706871,1,5,9,3.80826577337052,1,4
2025-02-01,sjrwaj31kq62,Rose,1475.522649663612,1,6,10,4.811028028328028,2,4
2025-02-01,sjrwaj31kq62,Vinyl,1481.0938316303575,1,5,10,4.2827200573676345,2,3
2025-02-01,sjrwaj31kq62,Laces,1523.7116204619624,1,6,8,4.2953181180505196,4,2
2025-02-03,ez47fwm7a025,Mist,1474.4194140086634,1,6,8,3.4576871211492715,2,4
2025-02-03,ez47fwm7a025,Lunar Owls,1586.8929918393135,1,6,9,5.857652462359247,6,0
2025-02-03,ez47fwm7a025,Phantom,1470.1321152047099,1,6,8,3.516326627806314,2,4
2025-02-03,ez47fwm7a025,Vinyl,1469.321208821739,1,6,9,3.8245129419117423,2,4
2025-02-07,t4qkedtx86as,Phantom,1459.315470595483,0,7,7,3.11023319569979,2,5
2025-02-07,t4qkedtx86as,Mist,1458.470219717369,0,7,7,2.9301057440034173,2,5
2025-02-07,t4qkedtx86as,Lunar Owls,1597.7096364485403,0,7,8,5.257546468809265,7,0
2025-02-07,t4qkedtx86as,Rose,1491.4718439549063,0,7,9,4.491168360338614,3,4
2025-02-08,NA,Lunar Owls,1607.6200069319088,1,8,7,4.659809473536863,8,0
2025-02-08,NA,Vinyl,1487.8057167031782,1,7,8,3.65604238951233,3,4
2025-02-08,NA,Mist,1448.5598492340005,1,8,6,2.5616951411234035,2,6
2025-02-08,NA,Laces,1505.2271125805232,1,7,7,3.4843111651478007,4,3
2025-02-18,h1nn8q71jybo,Vinyl,1471.974541836518,0,8,7,2.9695585193261143,3,5
2025-02-18,h1nn8q71jybo,Laces,1519.1250247506125,1,8,6,3.255963135123518,5,3
2025-02-18,h1nn8q71jybo,Rose,1507.3030188215664,0,8,8,4.114204082240352,4,4
2025-02-18,h1nn8q71jybo,Phantom,1445.4175584253937,1,8,6,2.517252101246802,2,6
2025-02-21,boyu8ar6k7zl,Rose,1527.7985476824297,1,9,7,3.96523108773613,5,4
2025-02-21,boyu8ar6k7zl,Vinyl,1486.8978848883585,1,9,6,2.529718275314067,4,5
2025-02-21,boyu8ar6k7zl,Lunar Owls,1587.1244780710456,1,9,6,3.940239928704807,8,1
2025-02-21,boyu8ar6k7zl,Mist,1433.63650618216,1,9,5,1.971088886194674,2,7
2025-02-22,73tp1uzii8x2,Lunar Owls,1600.0323687605173,1,10,5,3.3643988520053125,9,1
2025-02-22,73tp1uzii8x2,Phantom,1463.3187733404955,1,9,5,2.1525407001594044,3,6
2025-02-22,73tp1uzii8x2,Laces,1506.2171340611408,1,9,5,2.58453119647966,5,4
2025-02-22,73tp1uzii8x2,Vinyl,1468.9966699732568,1,10,5,1.893211106734488,4,6
2025-02-24,m92ditkrpg6g,Rose,1540.8627726328834,1,10,6,3.436315294251397,6,4
2025-02-24,m92ditkrpg6g,Mist,1452.9311790777806,1,10,4,1.6308493201745422,3,7
2025-02-24,m92ditkrpg6g,Phantom,1450.2545483900417,1,10,4,1.7192619732383858,3,7
2025-02-24,m92ditkrpg6g,Laces,1486.9224611655202,1,10,4,1.9035180687655786,5,5
2025-02-28,wmma46sohv96,Laces,1470.097679700203,0,11,3,1.439231025026518,5,6
2025-02-28,wmma46sohv96,Phantom,1434.3778093499168,0,11,3,1.1730278607909497,3,8
2025-02-28,wmma46sohv96,Vinyl,1485.821451438574,0,11,4,1.6837388942191707,5,6
2025-02-28,wmma46sohv96,Mist,1468.8079181179055,0,11,3,1.1607855378834522,4,7
2025-03-01,vi8xu7g2nnws,Vinyl,1474.8994525207588,0,12,3,1.0610490264669123,5,7
2025-03-01,vi8xu7g2nnws,Rose,1521.5912930397621,0,11,5,2.692030822441012,6,5
2025-03-01,vi8xu7g2nnws,Lunar Owls,1610.9543676783326,0,11,4,2.7212372400671327,10,1
2025-03-01,vi8xu7g2nnws,Mist,1488.0793977110268,0,12,2,0.8433474650289254,5,7
2025-03-03,2bp02n0q27tj,Laces,1456.451836002993,0,12,2,0.8442661358621086,5,7
2025-03-03,2bp02n0q27tj,Lunar Owls,1619.457351030268,1,12,3,2.0143216458074953,11,1
2025-03-03,2bp02n0q27tj,Rose,1535.237136736972,0,12,4,2.1991732981903453,7,5
2025-03-03,2bp02n0q27tj,Phantom,1425.8748259979814,1,12,2,0.8892941860888673,3,9
2025-03-07,f3cv3sdbrtmw,Phantom,1411.279325101884,0,13,1,0.43738921627573774,3,10
2025-03-07,f3cv3sdbrtmw,Lunar Owls,1631.6530897527298,1,13,2,1.460558309760368,12,1
2025-03-07,f3cv3sdbrtmw,Laces,1471.0473368990904,0,13,1,0.37194012026498285,6,7
2025-03-07,f3cv3sdbrtmw,Rose,1523.0413980145102,1,13,3,1.763392663628196,7,6
2025-03-08,v4kmebvfsfds,Laces,1487.8310645740517,1,14,0,0,7,7
2025-03-08,v4kmebvfsfds,Vinyl,1456.001950152788,0,13,2,0.6360861248214487,5,8
2025-03-08,v4kmebvfsfds,Mist,1471.2956700360655,1,13,1,0.30238573333858065,5,8
2025-03-08,v4kmebvfsfds,Phantom,1430.176827469855,0,14,0,0,4,10
2025-03-10,h5sru56hfj20,Mist,1462.197161340872,0,14,0,0,5,9
2025-03-10,h5sru56hfj20,Rose,1535.9918700590913,1,14,2,1.2026994265067839,8,6
2025-03-10,h5sru56hfj20,Lunar Owls,1640.7515984479232,0,14,1,0.7444417003997326,13,1
2025-03-10,h5sru56hfj20,Vinyl,1443.0514781082068,1,14,1,0.33513295484941574,5,9
2025-03-16,jkfojym71xph,Rose,1549.7880801804126,1,15,1,0.6331039072016109,9,6
2025-03-16,jkfojym71xph,Lunar Owls,1616.5172926223852,0,15,0,0,13,2
2025-03-16,jkfojym71xph,Laces,1474.0348544527303,1,15,0,0,7,8
2025-03-16,jkfojym71xph,Vinyl,1467.2857839337448,0,15,0,0,6,9
2025-03-17,xydxurm98lce,Rose,1562.0585467130188,1,16,0,0,10,6
2025-03-17,xydxurm98lce,Vinyl,1455.0153174011386,1,16,0,0,6,10
