"week_number","date","team","team_score","opponent","opponent_score","game_result","wins","losses","point_differential","rank","season"
4,"2024-03-22","Rose",80,"Mist",93,0,3,1,-13,2,2025
4,"2024-03-22","Phantom",93,"Vinyl",86,1,2,2,7,3,2025
2,"2024-03-08","Vinyl",92,"Phantom",87,1,2,0,5,1,2025
6,"2024-04-05","Mist",92,"Rose",87,1,2,4,5,5,2025
2,"2024-03-08","Rose",90,"Mist",88,1,2,0,2,2,2025
3,"2024-03-15","Lunar Owls",90,"Laces",88,1,2,1,2,2,2025
5,"2024-03-29","Laces",89,"Lunar Owls",87,1,2,3,2,4,2025
3,"2024-03-15","Vinyl",87,"Phantom",89,0,2,1,-2,3,2025
5,"2024-03-29","Phantom",86,"Vinyl",89,0,2,3,-3,5,2025
7,"2024-04-12","Mist",88,"Rose",93,0,2,5,-5,6,2025
4,"2024-03-22","Vinyl",86,"Phantom",93,0,2,2,-7,4,2025
6,"2024-04-05","Laces",83,"Lunar Owls",90,0,2,4,-7,6,2025
4,"2024-03-22","Mist",93,"Rose",80,1,1,3,13,5,2025
1,"2024-03-01","Rose",85,"Mist",78,1,1,0,7,1,2025
2,"2024-03-08","Laces",92,"Lunar Owls",85,1,1,1,7,3,2025
1,"2024-03-01","Vinyl",92,"Phantom",88,1,1,0,4,2,2025
1,"2024-03-01","Lunar Owls",85,"Laces",82,1,1,0,3,3,2025
3,"2024-03-15","Phantom",89,"Vinyl",87,1,1,2,2,4,2025
3,"2024-03-15","Laces",88,"Lunar Owls",90,0,1,2,-2,5,2025
2,"2024-03-08","Lunar Owls",85,"Laces",92,0,1,1,-7,4,2025
4,"2024-03-22","Laces",84,"Lunar Owls",91,0,1,3,-7,6,2025
5,"2024-03-29","Mist",86,"Rose",93,0,1,4,-7,6,2025
2,"2024-03-08","Mist",88,"Rose",90,0,0,2,-2,5,2025
1,"2024-03-01","Laces",82,"Lunar Owls",85,0,0,1,-3,4,2025
1,"2024-03-01","Phantom",88,"Vinyl",92,0,0,1,-4,5,2025
3,"2024-03-15","Mist",83,"Rose",87,0,0,3,-4,6,2025
2,"2024-03-08","Phantom",87,"Vinyl",92,0,0,2,-5,6,2025
1,"2024-03-01","Mist",78,"Rose",85,0,0,1,-7,6,2025
